index,uFilename,uFirstSlice,uLastSlice,uAlgorithm,folder1,folder2,folder3,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdScale,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,thresholdPercent
63,20200518__A01_G001_0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20200518__A01_G001_0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20200518__A01_G001_0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20200518__A01_G001_0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20200518__A01_G001_0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20200518__A01_G001_0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,20200518__A01_G001_0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20200518__A01_G001_0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,20200518__A01_G001_0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,20200518__A01_G001_0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20200518__A01_G001_0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20200518__A01_G001_0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20200518__A01_G001_0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20200518__A01_G001_0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20200518__A01_G001_0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20200518__A01_G001_0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20200518__A01_G001_0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20200518__A01_G001_0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20200518__A01_G001_0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20200518__A01_G001_0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,20200518__A01_G001_0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20200518__A01_G001_0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
