index,uFilename,uInclude,uFirstSlice,uLastSlice,uAlgorithm,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdPercent,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,firstSlice,lastSlice,saveBase2
10,20200518__A01_G001_0005_ch1.tif,,,,,20200528.0,13:08:59,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,11.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0005_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0005_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0005_ch1,,24.0,34.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0005_ch1
11,20200518__A01_G001_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20200518__A01_G001_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20200518__A01_G001_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20200518__A01_G001_0009,1.0,24.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20200518__A01_G001_0009_ch2.tif,,,,,20200528.0,13:00:39,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,20.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,137.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0009_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0009_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0009_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0009_ch2.tif,24.0,43.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0009_ch2
16,20200518__A01_G001_0009_ch1.tif,,,,,20200528.0,13:09:02,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,20.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0009_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0009_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0009_ch1,,24.0,43.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0009_ch1
17,20200518__A01_G001_0010,1.0,22.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20200518__A01_G001_0010_ch2.tif,,,,,20200528.0,13:00:46,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,25.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,247.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0010_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0010_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0010_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0010_ch2.tif,22.0,46.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0010_ch2
19,20200518__A01_G001_0010_ch1.tif,,,,,20200528.0,13:09:06,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,25.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0010_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0010_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0010_ch1,,22.0,46.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0010_ch1
20,20200518__A01_G001_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20200518__A01_G001_0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20200518__A01_G001_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20200518__A01_G001_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20200518__A01_G001_0015,1.0,17.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20200518__A01_G001_0015_ch2.tif,,,,,20200528.0,13:00:55,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,23.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,261.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0015_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0015_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0015_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0015_ch2.tif,17.0,39.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0015_ch2
26,20200518__A01_G001_0015_ch1.tif,,,,,20200528.0,13:09:13,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,23.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0015_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0015_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0015_ch1,,17.0,39.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0015_ch1
27,20200518__A01_G001_0016,1.0,17.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20200518__A01_G001_0016_ch2.tif,,,,,20200528.0,13:01:05,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,23.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,103.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0016_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0016_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0016_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0016_ch2.tif,17.0,39.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0016_ch2
29,20200518__A01_G001_0016_ch1.tif,,,,,20200528.0,13:09:19,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,23.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0016_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0016_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0016_ch1,,17.0,39.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0016_ch1
